BfArM: AMIce-ÖFF/ Arzneimittel © BfArM
 ;Nr.;Eingangsnummer;Arzneimittelbezeichnung;Darreichungsform;Zielgruppe;Anwendungsart;Anwendungsgebiete;Indikation/ATC;Bescheiddatum der Zulassung;Zulassungsstatus;Zulassungs-/Reg.-Nr. (AMG 1976), Register-Nr. (AMG 1961) oder Kennziffer;Verkehrsfähigkeit;Parallelimportinformationen;EU-Verfahrensnummer;Zulassungsinhaber;Hersteller/Endfreigabe;Vertreiber;Örtlicher Vertreter;Wirkstoffe;Packungsgrößen-Gruppe/Verkaufsabgrenzung;AM-Klassifikationen
;1;"'2673046";Avastin;Konzentrat zur Herstellung einer Infusionslösung;Mensch;intravenöse Anwendung;Bei diesem Arzneimittel handelt es sich um einen Parallelvertrieb. Den neuesten Stand des Arzneimittels können Sie den Internetseiten der EMA entnehmen.;L01XC07 Bevacizumab;19.02.2016;EMA-notifiziert;EU/1/04/300/002;Ja;;EMEA/H/C/0582;8154889 Canoma Pharma GmbH;8154889 Canoma Pharma GmbH;-;-;Bevacizumab (33758) 25 Milligramm;2673046_1, Originalpackung, 16 ml, verschreibungspflichtig, verschreibungspflichtig gemäß § 48(1),(2)1 AMG [bis 14.AMG-Novelle (06.09.2005) § 49 AMG];SiMerk--Rx-J: Sicherheitsmerkmal Pflicht - Verschreibungspflichtiges Arzneimittel (Rx), das die Sicherheitsmerkmale nach Artikel 54 Buchstabe o der Richtlinie 2001/83/EG und der Delegierten VO (EU) 2016/161 tragen muss;
;2;"'7009595";Avastin 25 mg/ml Konzentrat zur Herstellung einer Infusionslösung;Konzentrat zur Herstellung einer Infusionslösung;Mensch;intravenöse Anwendung;Bei diesem Arzneimittel handelt es sich um einen Parallelvertrieb. Den neuesten Stand des Arzneimittels können Sie den Internetseiten der EMA entnehmen.;L01XC07 Bevacizumab;25.04.2022;EMA-notifiziert;EU/1/04/300/001;Ja;;EMEA/H/C/0582;4612266 SynCo Pharma B.V.;1007347 SynCo pharma B.V. (BS 1) ~ 1009280 Bmodesto B.V. (BS 1);-;-;Bevacizumab (33758) 25 Milligramm;7009595_1, Originalpackung, 4 ml, verschreibungspflichtig, verschreibungspflichtig gemäß § 48(1),(2)1 AMG [bis 14.AMG-Novelle (06.09.2005) § 49 AMG];SiMerk--Rx-J: Sicherheitsmerkmal Pflicht - Verschreibungspflichtiges Arzneimittel (Rx), das die Sicherheitsmerkmale nach Artikel 54 Buchstabe o der Richtlinie 2001/83/EG und der Delegierten VO (EU) 2016/161 tragen muss;
;3;"'2671199";Avastin;Konzentrat zur Herstellung einer Infusionslösung;Mensch;intravenöse Anwendung;Bei diesem Arzneimittel handelt es sich um einen Parallelvertrieb. Den neuesten Stand zu dem Arzneimittel entnehmen Sie bitte den Seiten der EMA.;L01XC07 Bevacizumab;14.01.2010;EMA-notifiziert;EU/1/04/300/001;Ja;;EMEA/H/C/0582;8050167 EurimPharm Arzneimittel GmbH;8050167 EurimPharm Arzneimittel GmbH;-;-;Bevacizumab (33758) 25 Milligramm;2671199_10, Originalpackung, 4 ml, verschreibungspflichtig, verschreibungspflichtig gemäß § 48(1),(2)1 AMG [bis 14.AMG-Novelle (06.09.2005) § 49 AMG];SiMerk--Rx-J: Sicherheitsmerkmal Pflicht - Verschreibungspflichtiges Arzneimittel (Rx), das die Sicherheitsmerkmale nach Artikel 54 Buchstabe o der Richtlinie 2001/83/EG und der Delegierten VO (EU) 2016/161 tragen muss;
;4;"'2672703";Avastin;Konzentrat zur Herstellung einer Infusionslösung;Mensch;intravenöse Anwendung;Bei diesem Arzneimittel handelt es sich um einen Parallelvertrieb. Den neuesten Stand des Arzneimittels können Sie den Internetseiten der EMA entnehmen.;L01XC07 Bevacizumab;17.03.2015;EMA-notifiziert;EU/1/04/300/002;Ja;;EMEA/H/C/0582;8090132 HAEMATO PHARM GmbH;8090132 HAEMATO PHARM GmbH;-;-;Bevacizumab (33758) 25 Milligramm;2672703_1, Originalpackung, 16 ml, verschreibungspflichtig, verschreibungspflichtig gemäß § 48(1),(2)1 AMG [bis 14.AMG-Novelle (06.09.2005) § 49 AMG];SiMerk--Rx-J: Sicherheitsmerkmal Pflicht - Verschreibungspflichtiges Arzneimittel (Rx), das die Sicherheitsmerkmale nach Artikel 54 Buchstabe o der Richtlinie 2001/83/EG und der Delegierten VO (EU) 2016/161 tragen muss;
;5;"'2672335";Avastin;Konzentrat zur Herstellung einer Infusionslösung;Mensch;intravenöse Anwendung;Bei diesem Arzneimittel handelt es sich um einen Parallelvertrieb. Den neuesten Stand zu dem Arzneimittel entnehmen Sie bitte den Seiten der EMA.;L01XC07 Bevacizumab;17.11.2010;EMA-notifiziert;EU/1/04/300/002;Ja;;EMEA/H/C/0582;8134823 EURO RX Arzneimittel GmbH;8134823 EURO RX Arzneimittel GmbH;-;-;Bevacizumab (33758) 25 Milligramm;2672335_1, Originalpackung, 16 ml, verschreibungspflichtig, verschreibungspflichtig gemäß § 48(1),(2)1 AMG [bis 14.AMG-Novelle (06.09.2005) § 49 AMG];SiMerk--Rx-J: Sicherheitsmerkmal Pflicht - Verschreibungspflichtiges Arzneimittel (Rx), das die Sicherheitsmerkmale nach Artikel 54 Buchstabe o der Richtlinie 2001/83/EG und der Delegierten VO (EU) 2016/161 tragen muss;
;6;"'2670182";Avastin;Konzentrat zur Herstellung einer Infusionslösung;Mensch;intravenöse Anwendung;*Dieses Arzneimittel wird in Kombination mit einer Chemotherapie auf Fluoropyrimidin-Basis zur Behandlung von erwachsenen Patienten mit metastasiertem Kolon- oder Rektumkarzinom angewendet.*Dieses Arzneimittel wird in Kombination mit Paclitaxel zur First-Line-Behandlung von erwachsenen Patienten mit metastasiertem Mammakarzinom angewendet. Zu weiteren Informationen wie auch zum humanen epidermalen Wachstumsfaktor-Rezeptor 2 (HER2)-Status.*Dieses Arzneimittel wird in Kombination mit Capecitabin zur First-Line-Behandlung von erwachsenen Patienten mit metastasiertem Mammakarzinom angewendet, bei denen eine Behandlung mit anderen Chemotherapie-Optionen, einschließlich Taxanen oder Anthracyclinen, als nicht geeignet angesehen wird. Patienten, die innerhalb der letzten 12 Monate Taxan- und Anthracyclin-haltige Therapieregime im Rahmen der adjuvanten Behandlung erhalten haben, sollten nicht mit Avastin in Kombination mit Capecitabin therapiert werden. Zu weiteren Informationen wie auch zum HER2-Status.*Dieses Arzneimittel wird zusätzlich zu einer platinhaltigen Chemotherapie zur First-Line-Behandlung von erwachsenen Patienten mit inoperablem fortgeschrittenem, metastasiertem oder rezidivierendem nicht-kleinzelligem Bronchialkarzinom, außer bei vorwiegender Plattenepithel-Histologie, angewendet.*Dieses Arzneimittel wird in Kombination mit Erlotinib zur First-Line-Behandlung von erwachsenen Patienten mit inoperablem fortgeschrittenem, metastasiertem oder rezidivierendem nicht-kleinzelligem Nicht-Plattenepithel-Bronchialkarzinom mit Mutationen, die den epidermalen Wachstumsfaktorrezeptor (EGFR) aktivieren, angewendet.*Dieses Arzneimittel wird in Kombination mit Interferon alfa-2a zur First-Line-Behandlung von erwachsenen Patienten mit fortgeschrittenem und/oder metastasiertem Nierenzellkarzinom angewendet.*Dieses Arzneimittel wird in Kombination mit Carboplatin und Paclitaxel zur Primärbehandlung von erwachsenen Patienten mit fortgeschrittenem epithelialem Ovarialkarzinom, Eileiterkarzinom oder primärem Peritonealkarzinom in den International Federation of Gynecology and Obstetrics (FIGO)-Stadien IIIB, IIIC und IV angewendet.*Dieses Arzneimittel wird in Kombination mit Carboplatin und Gemcitabin oder in Kombination mit Carboplatin und Paclitaxel zur Behandlung von erwachsenen Patienten mit einem ersten platinsensitiven Rezidiv eines epithelialen Ovarialkarzinoms, Eileiterkarzinoms oder primären Peritonealkarzinoms angewendet, die zuvor noch nicht mit Bevacizumab oder mit anderen VEGF-Inhibitoren bzw. auf den VEGF-Rezeptor zielenden Substanzen behandelt wurden.*Dieses Arzneimittel wird in Kombination mit Paclitaxel, Topotecan oder pegyliertem liposomalen Doxorubicin zur Behandlung von erwachsenen Patienten mit platinresistentem Rezidiv eines epithelialen Ovarialkarzinoms, Eileiterkarzinoms oder primären Peritonealkarzinoms angewendet, die zuvor mit höchstens zwei Chemotherapien behandelt wurden und die zuvor keine Therapie mit *Dieses Arzneimittel oder einem anderen VEGF-Inhibitor bzw. auf den VEGF-Rezeptor zielenden Substanzen erhalten haben.*Dieses Arzneimittel wird in Kombination mit Paclitaxel und Cisplatin - oder alternativ mit Paclitaxel und Topotecan bei Patienten, die keine platinhaltige Therapie erhalten können - zur Behandlung von erwachsenen Patienten mit persistierendem, rezidivierendem oder metastasiertem Zervixkarzinom angewendet.(Stand der Information: 06/2017);L01XC07 Bevacizumab;14.01.2005;verlängert;EU/1/04/300/002;Ja;;EMEA/H/C/0582;4611002 Roche Registration GmbH;3001678 Roche Pharma AG;-;3001678 Roche Pharma AG;Bevacizumab ((MW: ca. 149 kDa)) (33758) 25 Milligramm;2670182_1, Originalpackung, 16 ml, verschreibungspflichtig, verschreibungspflichtig gemäß § 48(1),(2)1 AMG [bis 14.AMG-Novelle (06.09.2005) § 49 AMG];SiMerk--Rx-J: Sicherheitsmerkmal Pflicht - Verschreibungspflichtiges Arzneimittel (Rx), das die Sicherheitsmerkmale nach Artikel 54 Buchstabe o der Richtlinie 2001/83/EG und der Delegierten VO (EU) 2016/161 tragen muss;
;7;"'2671202";Avastin;Konzentrat zur Herstellung einer Infusionslösung;Mensch;intravenöse Anwendung;Bei diesem Arzneimittel handelt es sich um einen Parallelvertrieb. Den neuesten Stand des Arzneimittels können Sie den Internetseiten der EMA entnehmen.;L01XC07 Bevacizumab;04.10.2012;EMA-notifiziert;EU/1/04/300/001;Ja;;EMEA/H/C/0582;8124842 INOPHA GmbH;8124842 INOPHA GmbH;-;-;Bevacizumab (33758) 25 Milligramm;2671202_1, Originalpackung, 4 ml, verschreibungspflichtig, verschreibungspflichtig gemäß § 48(1),(2)1 AMG [bis 14.AMG-Novelle (06.09.2005) § 49 AMG];SiMerk--Rx-J: Sicherheitsmerkmal Pflicht - Verschreibungspflichtiges Arzneimittel (Rx), das die Sicherheitsmerkmale nach Artikel 54 Buchstabe o der Richtlinie 2001/83/EG und der Delegierten VO (EU) 2016/161 tragen muss;
;8;"'2673898";Avastin;Konzentrat zur Herstellung einer Infusionslösung;Mensch;intravenöse Anwendung;Bei diesem Arzneimittel handelt es sich um einen Parallelvertrieb. Den neuesten Stand des Arzneimittels können Sie den Internetseiten der EMA entnehmen.;L01XC07 Bevacizumab;20.12.2017;EMA-notifiziert;EU/1/04/300/002;Ja;;EMEA/H/C/0582;8144626 hvd medical GmbH;8144626 hvd medical GmbH;-;-;Bevacizumab (33758) 25 Milligramm;2673898_1, Originalpackung, 16 ml, verschreibungspflichtig, verschreibungspflichtig gemäß § 48(1),(2)1 AMG [bis 14.AMG-Novelle (06.09.2005) § 49 AMG];SiMerk--Rx-J: Sicherheitsmerkmal Pflicht - Verschreibungspflichtiges Arzneimittel (Rx), das die Sicherheitsmerkmale nach Artikel 54 Buchstabe o der Richtlinie 2001/83/EG und der Delegierten VO (EU) 2016/161 tragen muss;
;9;"'2671960";Avastin;Konzentrat zur Herstellung einer Infusionslösung;Mensch;intravenöse Anwendung;Bei diesem Arzneimittel handelt es sich um einen Parallelvertrieb. Den neuesten Stand des Arzneimittels können Sie den Internetseiten der EMA entnehmen.;L01XC07 Bevacizumab;14.11.2013;erloschen;EU/1/04/300/002;Nein;;EMEA/H/C/0582;8002731 Cancernova GmbH onkologische Arzneimittel;8002731 Cancernova GmbH onkologische Arzneimittel;-;-;Bevacizumab ((MW: ca. 149 kDa)) (33758) 25 Milligramm;2671960_1, Originalpackung, -, verschreibungspflichtig, verschreibungspflichtig gemäß § 48(1),(2)1 AMG [bis 14.AMG-Novelle (06.09.2005) § 49 AMG];SiMerk--Rx-J: Sicherheitsmerkmal Pflicht - Verschreibungspflichtiges Arzneimittel (Rx), das die Sicherheitsmerkmale nach Artikel 54 Buchstabe o der Richtlinie 2001/83/EG und der Delegierten VO (EU) 2016/161 tragen muss;
;10;"'2672400";Avastin;Konzentrat zur Herstellung einer Infusionslösung;Mensch;intravenöse Anwendung;Bei diesem Arzneimittel handelt es sich um einen Parallelvertrieb. Den neuesten Stand zu dem Arzneimittel entnehmen Sie bitte den Seiten der EMA.;L01XC07 Bevacizumab;07.12.2009;EMA-notifiziert;EU/1/04/300/001;Ja;;EMEA/H/C/0582;3263935 EMRA-MED Arzneimittel GmbH;3263935 EMRA-MED Arzneimittel GmbH;-;-;Bevacizumab (33758) 25 Milligramm;2672400_1, Originalpackung, 4 ml, verschreibungspflichtig, verschreibungspflichtig gemäß § 48(1),(2)1 AMG [bis 14.AMG-Novelle (06.09.2005) § 49 AMG];SiMerk--Rx-J: Sicherheitsmerkmal Pflicht - Verschreibungspflichtiges Arzneimittel (Rx), das die Sicherheitsmerkmale nach Artikel 54 Buchstabe o der Richtlinie 2001/83/EG und der Delegierten VO (EU) 2016/161 tragen muss;
